Latitude,Longitude
47.1302246360427,-122.554890767414
47.1302307665177,-122.554827887819
47.1310032006879,-122.552645067592
47.1310522437462,-122.552528291202
47.1311074171323,-122.552411514811
47.1311687208272,-122.552312704019
47.1312729369452,-122.552159996431
47.1313158494047,-122.552115082434
47.1313710225156,-122.552115082434
47.1380404142784,-122.552555239599
47.1380894508066,-122.552573205198
47.1381200986136,-122.552618119194
47.1396463369179,-122.55745984801
47.1396708544425,-122.557540693204
47.1396831132006,-122.557612555598
47.1396769838219,-122.557675435193
47.1396585956816,-122.557738314788
47.1396340781513,-122.557801194383
47.1367102810937,-122.563092063163
47.136673502742,-122.563154942758
47.1354536729058,-122.564726932633
47.1354046339317,-122.56476286383
47.1353617247921,-122.564771846629
47.1353126857327,-122.56476286383
47.1352636466277,-122.564735915432
47.1352207373736,-122.564682018637
47.1350981393126,-122.564520328249
47.1350613598389,-122.564466431454
47.1346445240141,-122.563846618303
47.1342276849016,-122.563208839554
47.133308175234,-122.561753626069
47.1331733124708,-122.561538038886
47.1330445795122,-122.561313468904
47.1316591478261,-122.558861164699
47.1302430274658,-122.555025509403
47.1302246360427,-122.554962629808
47.1302246360427,-122.554890767414
