Latitude,Longitude,Depth(m)
47.133387866705,-122.561843454062,24.57
47.1334246473434,-122.561897350858,24.63
47.1334614279562,-122.561951247653,24.57
47.1335104687335,-122.562032092847,24.59
47.1335411191962,-122.562085989643,24.59
47.1335778997279,-122.562139886438,24.69
47.1336085501515,-122.562184800435,24.67
47.1336514607147,-122.562238697231,24.67
47.1336821110956,-122.562292594026,24.65
47.133725021599,-122.562346490822,24.72
47.1337679320676,-122.562391404818,24.84
47.1338108425013,-122.562436318815,24.72
47.1338414927898,-122.562490215611,24.72
47.1338721430605,-122.562553095206,24.74
47.1339027933134,-122.5626249576,24.80
47.1339395735935,-122.562678854396,24.80
47.1339702238073,-122.562732751191,24.80
47.1340008740033,-122.562795630786,24.84
47.1340315241816,-122.562858510381,24.86
47.1340621743421,-122.562921389976,24.90
47.1340989545112,-122.562975286772,24.88
47.1341296046326,-122.563038166367,24.91
47.1341663847548,-122.563092063163,24.91
47.1341970348371,-122.563154942758,24.93
47.1342276849016,-122.563208839554,24.95
47.1342644649556,-122.563262736349,24.97
47.1343196349885,-122.563334598744,25.11
47.1343502849819,-122.563388495539,25.03
47.1343870649505,-122.563433409536,25.09
47.1344238448935,-122.563487306331,25.12
47.134460624811,-122.563550185926,25.12
47.1344974047028,-122.563604082722,25.18
47.1345464445188,-122.563666962317,25.26
47.1345832243509,-122.563729841912,25.31
47.1346077442247,-122.563783738708,25.33
47.1346445240141,-122.563846618303,25.37
47.134681303778,-122.563900515099,25.43
47.1347180835162,-122.563954411894,25.56
47.1347548632289,-122.56400830869,25.58
47.1347916429159,-122.564062205486,25.73
47.1348284225774,-122.564116102282,25.75
47.1348652022133,-122.564169999077,25.79
47.1349019818235,-122.564223895873,25.92
47.1349510212641,-122.564295758267,25.96
47.1349878008146,-122.564349655063,26.06
47.1350245803395,-122.564403551859,26.17
47.1350613598389,-122.564466431454,26.28
47.1350981393126,-122.564520328249,26.36
47.1351410486663,-122.564574225045,26.46
47.1351839579852,-122.564628121841,26.68
47.1352207373736,-122.564682018637,26.74
47.1352636466277,-122.564735915432,26.87
47.1353126857327,-122.56476286383,26.99
47.1353617247921,-122.564771846629,27.22
47.1354046339317,-122.56476286383,27.39
47.1354536729058,-122.564726932633,27.46
47.1354904521065,-122.564673035837,27.50
47.1355272312817,-122.564619139042,27.65
47.1355578805747,-122.564538293848,27.77
47.1355823999963,-122.564466431454,27.79
47.1356130492574,-122.564394569059,27.60
47.1356498283472,-122.564331689464,27.67
47.1356866074114,-122.56425982707,27.67
47.1356988670938,-122.564098136683,27.73
47.1357540356293,-122.564044239887,27.58
47.1357908146209,-122.563999325891,27.62
47.1358153339345,-122.563945429095,27.69
47.1358398532367,-122.563873566701,27.65
47.1358337234122,-122.563801704307,27.56
47.1358092041072,-122.563729841912,27.39
47.135766295296,-122.563684927916,27.33
47.1357295162873,-122.56363103112,27.25
47.1356927372529,-122.563568151525,27.01
47.1356498283472,-122.563514254729,26.97
47.1356130492574,-122.563460357934,26.85
47.135570140287,-122.563406461138,26.68
47.1355333611417,-122.563352564342,26.68
47.1354904521065,-122.563298667546,26.53
47.1354475430366,-122.563244770751,26.34
47.135410763806,-122.563190873955,26.23
47.1353678546713,-122.563136977159,26.19
47.1353249455018,-122.563083080364,26.13
47.1352881661859,-122.563020200769,26.00
47.1352452569516,-122.562975286772,25.96
47.1351962177841,-122.562921389976,25.79
47.1351594383787,-122.562867493181,25.75
47.1351226589476,-122.562804613586,25.68
47.1350797495789,-122.56275071679,25.62
47.1350368401755,-122.562696819994,25.62
47.1350000606591,-122.562633940399,25.54
47.1349571511909,-122.562580043604,25.43
47.1349142416879,-122.562526146808,25.43
47.1348774620862,-122.562463267213,25.37
47.1348222926356,-122.562391404818,25.30
47.1347855129699,-122.562328525223,25.28
47.1347487332786,-122.562274628428,25.20
47.1347119535616,-122.562220731632,25.20
47.134681303778,-122.562175817636,25.22
47.1346445240141,-122.56212192084,25.11
47.1346077442247,-122.562068024044,25.12
47.1345770943806,-122.562005144449,25.03
47.1345403145442,-122.561951247653,25.05
47.1345035346823,-122.561888368058,24.99
47.1344667547947,-122.561834471263,25.03
47.1344299748816,-122.561771591668,24.99
47.1343931949428,-122.561717694872,24.93
47.1343625449743,-122.561654815277,24.97
47.1343257649886,-122.561591935682,24.90
47.134295114981,-122.561529056087,24.95
47.1342583349484,-122.561475159291,24.93
47.1342215548902,-122.561412279696,24.86
47.1341786447899,-122.5613583829,24.82
47.1341418646762,-122.561313468904,24.93
47.1341112145619,-122.561250589309,24.88
47.1340805644299,-122.561187709714,24.78
47.1340437842479,-122.561133812918,24.82
47.1340070040404,-122.561079916123,24.82
47.1339702238073,-122.561017036528,24.76
47.1339334435486,-122.560954156933,24.76
47.1339027933134,-122.560900260137,24.69
47.1338721430605,-122.560837380542,24.74
47.1338353627335,-122.560774500947,24.69
47.1338047124415,-122.560711621352,24.69
47.1337740621317,-122.560666707355,24.72
47.1337311516681,-122.56061281056,24.67
47.1336882411696,-122.560567896563,24.71
47.1336453306363,-122.560531965366,24.69
47.1336085501515,-122.56047806857,24.67
47.1335840298141,-122.560406206176,24.76
47.1335717696411,-122.560334343782,24.76
